,Org_Code,Effective_Snapshot_Date,All_specialties:_Non-Elective,All_specialties:_Ordinary_Elective,SUM_Non_Elective_and_Ordinary_Elective,All_specialties:_Daycase_Elective,Total_HC,Total_FTE,label_without_sum,label_with_sum,label_without_sum_categorical,label_with_sum_categorical
0,RPC,28/2/2023,495.0,215.0,710.0,950.0,1104,935.19925,3,3,grp_3,grp_3
1,RRJ,28/2/2023,20.0,520.0,540.0,565.0,1236,1099.1144,3,3,grp_3,grp_3
2,RY9,28/2/2023,40.0,0.0,40.0,0.0,1287,1091.21455,3,3,grp_3,grp_3
3,RY2,28/2/2023,0.0,0.0,0.0,0.0,1492,1248.99218,3,3,grp_3,grp_3
4,RET,28/2/2023,165.0,275.0,440.0,915.0,1554,1410.01618,3,3,grp_3,grp_3
6,RAN,28/2/2023,35.0,455.0,490.0,760.0,1619,1492.91219,3,3,grp_3,grp_3
7,RL1,28/2/2023,50.0,515.0,565.0,455.0,1646,1396.3662,3,3,grp_3,grp_3
8,REN,28/2/2023,110.0,75.0,185.0,265.0,1765,1628.99605,3,3,grp_3,grp_3
9,REP,28/2/2023,2335.0,110.0,2445.0,465.0,1765,1570.74333,3,3,grp_3,grp_3
11,RBQ,28/2/2023,395.0,330.0,725.0,360.0,1942,1787.68813,3,3,grp_3,grp_3
12,RGM,28/2/2023,360.0,490.0,850.0,815.0,2000,1856.07068,3,3,grp_3,grp_3
13,RP6,28/2/2023,200.0,85.0,285.0,2850.0,2356,2133.23117,3,3,grp_3,grp_3
14,RY4,28/2/2023,0.0,80.0,80.0,0.0,2377,1935.53077,3,3,grp_3,grp_3
15,RY5,28/2/2023,60.0,50.0,110.0,0.0,2383,2056.98375,3,3,grp_3,grp_3
16,RY3,28/2/2023,135.0,65.0,200.0,0.0,2445,2131.34722,3,3,grp_3,grp_3
17,RJN,28/2/2023,910.0,95.0,1005.0,880.0,2663,2249.84916,3,3,grp_3,grp_3
18,RLT,28/2/2023,2220.0,225.0,2445.0,1545.0,2768,2408.90186,3,3,grp_3,grp_3
19,RQY,28/2/2023,30.0,20.0,50.0,0.0,2770,2532.74808,3,3,grp_3,grp_3
20,RA4,28/2/2023,2060.0,200.0,2260.0,1485.0,2795,2462.47473,3,3,grp_3,grp_3
21,RXM,28/2/2023,95.0,0.0,95.0,0.0,3028,2662.98333,3,3,grp_3,grp_3
22,RXX,28/2/2023,110.0,0.0,110.0,0.0,3192,2904.83536,3,3,grp_3,grp_3
24,RBD,28/2/2023,1875.0,180.0,2055.0,2345.0,3289,2887.886,3,3,grp_3,grp_3
25,RY6,28/2/2023,0.0,0.0,0.0,0.0,3289,2837.37463,3,3,grp_3,grp_3
26,RV9,28/2/2023,90.0,35.0,125.0,0.0,3314,2944.3001,3,3,grp_3,grp_3
27,RVY,28/2/2023,2260.0,165.0,2425.0,1705.0,3427,3016.76905,3,3,grp_3,grp_3
28,RBV,28/2/2023,575.0,345.0,920.0,1180.0,3454,3188.4132,3,3,grp_3,grp_3
29,RCF,28/2/2023,2535.0,155.0,2690.0,2710.0,3577,3084.30337,3,3,grp_3,grp_3
30,RAS,28/2/2023,2800.0,280.0,3080.0,1930.0,3591,3278.77372,3,3,grp_3,grp_3
31,RAX,28/2/2023,4015.0,215.0,4230.0,1820.0,3703,3378.92971,3,1,grp_3,grp_1
32,RLQ,28/2/2023,2320.0,225.0,2545.0,2560.0,3739,3206.45833,3,3,grp_3,grp_3
33,RXE,28/2/2023,35.0,115.0,150.0,0.0,3749,3254.84097,3,3,grp_3,grp_3
34,RQW,28/2/2023,2785.0,250.0,3035.0,1900.0,3796,3459.35872,3,3,grp_3,grp_3
35,RAP,28/2/2023,2390.0,125.0,2515.0,2850.0,3806,3534.78606,3,3,grp_3,grp_3
36,RCX,28/2/2023,3360.0,245.0,3605.0,2380.0,3854,3391.35524,3,1,grp_3,grp_1
37,RCU,28/2/2023,500.0,335.0,835.0,1225.0,3910,3291.22005,3,3,grp_3,grp_3
38,RD8,28/2/2023,4630.0,290.0,4920.0,2490.0,3993,3504.24245,0,1,grp_0,grp_1
39,R1F,28/2/2023,1435.0,115.0,1550.0,1590.0,4000,3600.61578,3,3,grp_3,grp_3
40,RNZ,28/2/2023,2320.0,275.0,2595.0,1775.0,4004,3509.05381,3,3,grp_3,grp_3
41,RGP,28/2/2023,2225.0,310.0,2535.0,2555.0,4103,3563.56168,3,3,grp_3,grp_3
42,RQX,28/2/2023,3510.0,155.0,3665.0,1960.0,4111,3744.17984,3,1,grp_3,grp_1
43,RN7,28/2/2023,3805.0,580.0,4385.0,3270.0,4187,3754.98101,0,1,grp_0,grp_1
44,RFS,28/2/2023,4225.0,320.0,4545.0,2260.0,4220,3603.89955,0,1,grp_0,grp_1
45,R1C,28/2/2023,100.0,0.0,100.0,0.0,4242,3555.0462,3,3,grp_3,grp_3
46,RBS,28/2/2023,1210.0,370.0,1580.0,1640.0,4256,3796.37064,3,3,grp_3,grp_3
47,RFF,28/2/2023,3635.0,265.0,3900.0,2285.0,4257,3690.74974,0,1,grp_0,grp_1
48,RJ6,28/2/2023,2140.0,240.0,2380.0,2295.0,4277,3944.8735,3,3,grp_3,grp_3
49,RMP,28/2/2023,3305.0,175.0,3480.0,1315.0,4327,3780.53889,3,1,grp_3,grp_1
50,RY8,28/2/2023,85.0,30.0,115.0,150.0,4437,3620.26259,3,3,grp_3,grp_3
51,RPG,28/2/2023,55.0,30.0,85.0,0.0,4460,4041.1848,3,3,grp_3,grp_3
52,RPY,28/2/2023,165.0,565.0,730.0,5705.0,4463,4157.80092,3,3,grp_3,grp_3
53,RWW,28/2/2023,3080.0,255.0,3335.0,2055.0,4470,3898.69644,3,1,grp_3,grp_1
54,R1A,28/2/2023,260.0,135.0,395.0,0.0,4553,3785.99834,3,3,grp_3,grp_3
55,RJ8,28/2/2023,220.0,150.0,370.0,0.0,4563,3897.72883,3,3,grp_3,grp_3
56,RTK,28/2/2023,4700.0,455.0,5155.0,3305.0,4572,4164.36609,0,1,grp_0,grp_1
57,RKE,28/2/2023,1575.0,235.0,1810.0,1780.0,4628,4227.86839,3,3,grp_3,grp_3
58,RVN,28/2/2023,45.0,70.0,115.0,0.0,4674,4025.29151,3,3,grp_3,grp_3
59,RXG,28/2/2023,115.0,0.0,115.0,0.0,4675,4164.90903,3,3,grp_3,grp_3
61,RNQ,28/2/2023,3620.0,325.0,3945.0,3345.0,4759,4211.04023,0,1,grp_0,grp_1
62,RJR,28/2/2023,3025.0,255.0,3280.0,2300.0,4823,4270.60716,0,1,grp_0,grp_1
63,RFR,28/2/2023,3460.0,415.0,3875.0,2265.0,4824,4063.90372,0,1,grp_0,grp_1
64,RA2,28/2/2023,3850.0,580.0,4430.0,2355.0,4832,4320.85483,0,1,grp_0,grp_1
65,RPA,28/2/2023,3895.0,345.0,4240.0,1960.0,4844,4426.20407,0,1,grp_0,grp_1
66,RWX,28/2/2023,30.0,50.0,80.0,0.0,4855,4244.44418,3,3,grp_3,grp_3
67,RBK,28/2/2023,4915.0,365.0,5280.0,2430.0,4966,4309.47993,0,1,grp_0,grp_1
68,RYW,28/2/2023,500.0,0.0,500.0,0.0,4978,4277.72475,3,3,grp_3,grp_3
69,RTP,28/2/2023,5035.0,365.0,5400.0,3460.0,5003,4473.59153,0,1,grp_0,grp_1
70,RCD,28/2/2023,2045.0,205.0,2250.0,2360.0,5018,4229.5944,3,3,grp_3,grp_3
71,RGR,28/2/2023,3065.0,285.0,3350.0,2135.0,5030,4368.32181,0,1,grp_0,grp_1
72,RJC,28/2/2023,3045.0,270.0,3315.0,2835.0,5182,4455.4448,0,1,grp_0,grp_1
73,RR7,28/2/2023,2705.0,250.0,2955.0,2345.0,5204,4617.82886,0,1,grp_0,grp_1
74,RYY,28/2/2023,195.0,0.0,195.0,0.0,5204,4435.70513,3,3,grp_3,grp_3
75,RDR,28/2/2023,275.0,0.0,275.0,0.0,5325,4372.29793,3,3,grp_3,grp_3
76,RWG,28/2/2023,4430.0,460.0,4890.0,2485.0,5374,4878.46392,0,1,grp_0,grp_1
77,RN3,28/2/2023,3805.0,505.0,4310.0,2985.0,5462,4760.65071,0,1,grp_0,grp_1
78,RBT,28/2/2023,3990.0,215.0,4205.0,2030.0,5472,4677.68489,0,1,grp_0,grp_1
79,RP4,28/2/2023,210.0,910.0,1120.0,2430.0,5517,5127.74791,3,3,grp_3,grp_3
80,RNS,28/2/2023,5670.0,605.0,6275.0,3710.0,5661,5020.56217,0,1,grp_0,grp_1
81,RK5,28/2/2023,4590.0,340.0,4930.0,3435.0,5755,4956.71778,0,1,grp_0,grp_1
82,RVW,28/2/2023,4310.0,455.0,4765.0,2860.0,5761,4932.16962,0,1,grp_0,grp_1
84,RNA,28/2/2023,4980.0,405.0,5385.0,3470.0,5947,5289.08713,0,1,grp_0,grp_1
86,RHW,28/2/2023,5130.0,600.0,5730.0,3405.0,6105,5493.19469,0,1,grp_0,grp_1
87,RQ3,28/2/2023,2265.0,560.0,2825.0,1805.0,6105,5440.3355,0,1,grp_0,grp_1
88,RWJ,28/2/2023,3830.0,375.0,4205.0,2590.0,6152,5354.73218,0,1,grp_0,grp_1
90,RD1,28/2/2023,4435.0,350.0,4785.0,2775.0,6274,5414.42712,0,1,grp_0,grp_1
91,RAE,28/2/2023,6585.0,425.0,7010.0,3610.0,6467,5707.9413,0,1,grp_0,grp_1
92,RWH,28/2/2023,3475.0,405.0,3880.0,5370.0,6534,5845.72469,0,1,grp_0,grp_1
93,RXQ,28/2/2023,4820.0,320.0,5140.0,3525.0,6542,5767.64103,0,1,grp_0,grp_1
94,RWY,28/2/2023,4505.0,470.0,4975.0,4040.0,6560,5780.25684,0,1,grp_0,grp_1
95,RDY,28/2/2023,105.0,65.0,170.0,0.0,6621,5384.37265,3,3,grp_3,grp_3
96,RMC,28/2/2023,4125.0,330.0,4455.0,1995.0,6680,5820.28606,0,1,grp_0,grp_1
97,RW1,28/2/2023,365.0,110.0,475.0,230.0,6750,5865.18968,3,3,grp_3,grp_3
98,RQM,28/2/2023,7360.0,1115.0,8475.0,4300.0,6759,6303.27576,0,1,grp_0,grp_1
99,RBL,28/2/2023,4465.0,590.0,5055.0,3860.0,6770,5733.7628,0,1,grp_0,grp_1
100,RWP,28/2/2023,5475.0,475.0,5950.0,6825.0,6817,5912.09309,0,1,grp_0,grp_1
101,RJL,28/2/2023,5290.0,455.0,5745.0,4435.0,6834,5806.50415,0,1,grp_0,grp_1
102,RAT,28/2/2023,290.0,440.0,730.0,10.0,6855,6138.96827,3,3,grp_3,grp_3
103,RWK,28/2/2023,180.0,95.0,275.0,0.0,6920,6423.21633,3,3,grp_3,grp_3
104,RP5,28/2/2023,4455.0,760.0,5215.0,4455.0,6937,5855.19882,0,1,grp_0,grp_1
105,RVR,28/2/2023,2740.0,600.0,3340.0,2990.0,6938,6192.3955,0,1,grp_0,grp_1
106,REF,28/2/2023,4345.0,835.0,5180.0,4810.0,7004,6184.11596,0,1,grp_0,grp_1
107,RA9,28/2/2023,2890.0,260.0,3150.0,3025.0,7058,6040.27759,0,1,grp_0,grp_1
108,RRF,28/2/2023,2535.0,500.0,3035.0,2620.0,7112,6113.58563,0,1,grp_0,grp_1
109,RBN,28/2/2023,6445.0,440.0,6885.0,3820.0,7121,6282.33644,0,1,grp_0,grp_1
110,RNN,28/2/2023,3270.0,365.0,3635.0,2545.0,7135,6118.05991,0,1,grp_0,grp_1
111,RGN,28/2/2023,5820.0,425.0,6245.0,4585.0,7171,6438.04626,0,1,grp_0,grp_1
112,RWF,28/2/2023,7045.0,495.0,7540.0,4140.0,7176,6484.66063,0,1,grp_0,grp_1
113,RXW,28/2/2023,5475.0,330.0,5805.0,5270.0,7220,6286.2747,0,1,grp_0,grp_1
114,RJ2,28/2/2023,6325.0,360.0,6685.0,3885.0,7222,6637.77281,0,1,grp_0,grp_1
116,RTX,28/2/2023,3885.0,385.0,4270.0,3290.0,7392,6360.13252,0,1,grp_0,grp_1
117,RN5,28/2/2023,5635.0,490.0,6125.0,3595.0,7526,6699.56543,0,1,grp_0,grp_1
118,RXK,28/2/2023,4585.0,545.0,5130.0,3180.0,7565,6715.03076,0,1,grp_0,grp_1
119,RF4,28/2/2023,6085.0,680.0,6765.0,4065.0,7821,7255.69446,0,1,grp_0,grp_1
120,RXP,28/2/2023,5910.0,400.0,6310.0,3670.0,7901,7012.64783,0,1,grp_0,grp_1
121,RX4,28/2/2023,130.0,35.0,165.0,0.0,7989,7309.00999,0,3,grp_0,grp_3
122,RV3,28/2/2023,470.0,55.0,525.0,0.0,8052,7342.82357,0,3,grp_0,grp_3
123,RXL,28/2/2023,4030.0,430.0,4460.0,4510.0,8103,7270.66905,0,1,grp_0,grp_1
124,RXC,28/2/2023,4135.0,470.0,4605.0,3760.0,8139,7178.4157,0,1,grp_0,grp_1
125,R1K,28/2/2023,8145.0,810.0,8955.0,5990.0,8234,7752.52032,2,0,grp_2,grp_0
126,RC9,28/2/2023,7170.0,835.0,8005.0,5415.0,8246,7486.10428,2,0,grp_2,grp_0
127,RHU,28/2/2023,6730.0,575.0,7305.0,5205.0,8369,7473.49642,2,0,grp_2,grp_0
128,RTE,28/2/2023,6685.0,940.0,7625.0,5000.0,8592,7413.14903,2,0,grp_2,grp_0
129,RWD,28/2/2023,5415.0,605.0,6020.0,4880.0,8880,7717.92561,2,0,grp_2,grp_0
130,RTF,28/2/2023,7335.0,465.0,7800.0,4690.0,8931,7730.59284,2,0,grp_2,grp_0
131,RHA,28/2/2023,30.0,180.0,210.0,0.0,9091,8024.17257,0,3,grp_0,grp_3
132,RM1,28/2/2023,5345.0,860.0,6205.0,7575.0,9095,7963.14644,2,0,grp_2,grp_0
133,R0B,28/2/2023,5445.0,660.0,6105.0,5435.0,9120,7927.94062,2,0,grp_2,grp_0
134,RWA,28/2/2023,5595.0,1095.0,6690.0,6430.0,9231,8104.3332,2,0,grp_2,grp_0
135,R0D,28/2/2023,6560.0,940.0,7500.0,6310.0,9327,8190.20823,2,0,grp_2,grp_0
136,RRE,28/2/2023,255.0,50.0,305.0,380.0,9395,8191.55816,0,3,grp_0,grp_3
137,RXF,28/2/2023,5960.0,545.0,6505.0,4835.0,9402,8100.60597,2,0,grp_2,grp_0
138,RKB,28/2/2023,7085.0,805.0,7890.0,5485.0,9468,8456.45241,2,0,grp_2,grp_0
139,RVJ,28/2/2023,6730.0,830.0,7560.0,4530.0,9495,8335.61185,2,0,grp_2,grp_0
140,RJ7,28/2/2023,4100.0,890.0,4990.0,3830.0,9644,9134.16875,2,0,grp_2,grp_0
141,RCB,28/2/2023,6440.0,610.0,7050.0,6425.0,9775,8336.56731,2,0,grp_2,grp_0
142,RXR,28/2/2023,5830.0,815.0,6645.0,4385.0,9885,8796.89106,2,0,grp_2,grp_0
143,RXN,28/2/2023,5115.0,1005.0,6120.0,4425.0,9906,8737.06005,2,0,grp_2,grp_0
144,RK9,28/2/2023,5045.0,820.0,5865.0,4575.0,9988,8800.93269,2,0,grp_2,grp_0
145,RTR,28/2/2023,5095.0,1105.0,6200.0,6115.0,10057,8881.87171,2,0,grp_2,grp_0
146,RH5,28/2/2023,4085.0,385.0,4470.0,3520.0,10126,8804.71018,2,0,grp_2,grp_0
147,RRV,28/2/2023,3015.0,2890.0,5905.0,9035.0,10623,9926.20822,2,0,grp_2,grp_0
148,RL4,28/2/2023,7660.0,560.0,8220.0,4925.0,10938,9615.16928,2,0,grp_2,grp_0
149,RVV,28/2/2023,6270.0,865.0,7135.0,5400.0,11120,10062.66243,2,0,grp_2,grp_0
150,RJE,28/2/2023,9975.0,1160.0,11135.0,7260.0,11372,10091.38589,2,0,grp_2,grp_0
151,RAL,28/2/2023,6465.0,820.0,7285.0,5520.0,11480,10757.58864,2,0,grp_2,grp_0
152,RDE,28/2/2023,7605.0,815.0,8420.0,7460.0,11560,10069.73091,2,0,grp_2,grp_0
153,RGT,28/2/2023,3760.0,1005.0,4765.0,6210.0,11743,10853.60529,2,0,grp_2,grp_0
154,RA7,28/2/2023,6515.0,930.0,7445.0,5970.0,12118,10593.35361,2,0,grp_2,grp_0
155,RH8,28/2/2023,7275.0,1050.0,8325.0,7320.0,12834,11113.22328,2,0,grp_2,grp_0
156,RHM,28/2/2023,6335.0,1315.0,7650.0,5100.0,13053,11757.71169,2,0,grp_2,grp_0
157,RYJ,28/2/2023,6680.0,1480.0,8160.0,8445.0,13657,12916.17964,2,0,grp_2,grp_0
158,RTH,28/2/2023,8725.0,1290.0,10015.0,6305.0,13661,12353.8359,2,0,grp_2,grp_0
159,RTG,28/2/2023,8975.0,1130.0,10105.0,9005.0,13961,12090.62444,2,0,grp_2,grp_0
160,RJZ,28/2/2023,6060.0,1245.0,7305.0,7695.0,14063,13165.49555,2,0,grp_2,grp_0
161,REM,28/2/2023,6675.0,1200.0,7875.0,7075.0,14227,12893.02483,2,0,grp_2,grp_0
162,RAJ,28/2/2023,11070.0,1365.0,12435.0,9510.0,15779,14067.90863,1,2,grp_1,grp_2
163,RTD,28/2/2023,7160.0,1585.0,8745.0,9925.0,16244,14210.82701,1,2,grp_1,grp_2
164,RYR,28/2/2023,10455.0,1460.0,11915.0,8925.0,16341,14376.48921,1,2,grp_1,grp_2
165,RWE,28/2/2023,11420.0,1515.0,12935.0,8770.0,16763,14747.33401,1,2,grp_1,grp_2
166,RHQ,28/2/2023,7255.0,1755.0,9010.0,10830.0,17684,15295.9418,1,2,grp_1,grp_2
167,R1H,28/2/2023,8580.0,1465.0,10045.0,6365.0,18197,17053.19317,1,2,grp_1,grp_2
168,RX1,28/2/2023,9655.0,1560.0,11215.0,9185.0,18271,16316.55414,1,2,grp_1,grp_2
169,RR8,28/2/2023,5725.0,1710.0,7435.0,5175.0,19924,17745.09537,1,2,grp_1,grp_2
170,RM3,28/2/2023,8100.0,1155.0,9255.0,8590.0,20092,17982.09932,1,2,grp_1,grp_2
171,RRK,28/2/2023,14695.0,1910.0,16605.0,11545.0,22655,20063.43216,1,2,grp_1,grp_2
172,RJ1,28/2/2023,5080.0,2985.0,8065.0,7365.0,22686,21277.34956,1,2,grp_1,grp_2
173,R0A,28/2/2023,6610.0,2480.0,9090.0,8665.0,28528,25871.93851,1,2,grp_1,grp_2
