,Org_Code,SUM_Non_Elective_and_Ordinary_Elective,All_specialties:_Non-Elective,All_specialties:_Ordinary_Elective,All_specialties:_Daycase_Elective,Total_HC,Total_FTE,AandE Attends Type1,label,label_categorical
1,RC9,8005.0,7170.0,835.0,5415.0,8246,7486.1,13737.0,0,Cluster_0
2,RGT,4765.0,3760.0,1005.0,6210.0,11743,10853.61,9354.0,2,Cluster_2
4,RWH,3880.0,3475.0,405.0,5370.0,6534,5845.72,8492.0,0,Cluster_0
6,RDE,8420.0,7605.0,815.0,7460.0,11560,10069.73,12636.0,2,Cluster_2
11,RGP,2535.0,2225.0,310.0,2555.0,4103,3563.56,5785.0,3,Cluster_3
13,RAJ,12435.0,11070.0,1365.0,9510.0,15779,14067.91,26836.0,1,Cluster_1
14,RD8,4920.0,4630.0,290.0,2490.0,3993,3504.24,7401.0,3,Cluster_3
16,RM1,6205.0,5345.0,860.0,7575.0,9095,7963.15,9373.0,0,Cluster_0
17,RGN,6245.0,5820.0,425.0,4585.0,7171,6438.05,10850.0,0,Cluster_0
19,RQW,3035.0,2785.0,250.0,1900.0,3796,3459.36,9229.0,3,Cluster_3
21,RCX,3605.0,3360.0,245.0,2380.0,3854,3391.36,6401.0,3,Cluster_3
22,RWG,4890.0,4430.0,460.0,2485.0,5374,4878.46,7076.0,3,Cluster_3
24,RGR,3350.0,3065.0,285.0,2135.0,5030,4368.32,6269.0,3,Cluster_3
25,RF4,6765.0,6085.0,680.0,4065.0,7821,7255.69,10592.0,0,Cluster_0
26,RJN,1005.0,910.0,95.0,880.0,2663,2249.85,3590.0,3,Cluster_3
27,R1H,10045.0,8580.0,1465.0,6365.0,18197,17053.19,21413.0,1,Cluster_1
28,RLT,2445.0,2220.0,225.0,1545.0,2768,2408.9,5497.0,3,Cluster_3
29,RQM,8475.0,7360.0,1115.0,4300.0,6759,6303.28,18151.0,0,Cluster_0
30,RJ6,2380.0,2140.0,240.0,2295.0,4277,3944.87,11489.0,3,Cluster_3
31,RVR,3340.0,2740.0,600.0,2990.0,6938,6192.4,11411.0,0,Cluster_0
32,RJ1,8065.0,5080.0,2985.0,7365.0,22686,21277.35,11484.0,1,Cluster_1
33,RQX,3665.0,3510.0,155.0,1960.0,4111,3744.18,9576.0,3,Cluster_3
35,RYJ,8160.0,6680.0,1480.0,8445.0,13657,12916.18,10757.0,2,Cluster_2
36,RVY,2425.0,2260.0,165.0,1705.0,3427,3016.77,6689.0,3,Cluster_3
37,RJZ,7305.0,6060.0,1245.0,7695.0,14063,13165.5,13799.0,2,Cluster_2
39,RAX,4230.0,4015.0,215.0,1820.0,3703,3378.93,6383.0,3,Cluster_3
40,RCF,2690.0,2535.0,155.0,2710.0,3577,3084.3,4925.0,3,Cluster_3
41,RJ2,6685.0,6325.0,360.0,3885.0,7222,6637.77,12367.0,0,Cluster_0
42,RAS,3080.0,2800.0,280.0,1930.0,3591,3278.77,5754.0,3,Cluster_3
43,R1K,8955.0,8145.0,810.0,5990.0,8234,7752.52,11865.0,0,Cluster_0
44,RLQ,2545.0,2320.0,225.0,2560.0,3739,3206.46,5234.0,3,Cluster_3
46,RAP,2515.0,2390.0,125.0,2850.0,3806,3534.79,8219.0,3,Cluster_3
47,RAL,7285.0,6465.0,820.0,5520.0,11480,10757.59,19519.0,2,Cluster_2
48,RJ7,4990.0,4100.0,890.0,3830.0,9644,9134.17,8420.0,0,Cluster_0
49,RCU,835.0,500.0,335.0,1225.0,3910,3291.22,4733.0,3,Cluster_3
50,R1F,1550.0,1435.0,115.0,1590.0,4000,3600.62,3147.0,3,Cluster_3
51,RRV,5905.0,3015.0,2890.0,9035.0,10623,9926.21,11823.0,2,Cluster_2
52,RKE,1810.0,1575.0,235.0,1780.0,4628,4227.87,7891.0,3,Cluster_3
53,RN7,4385.0,3805.0,580.0,3270.0,4187,3754.98,10233.0,3,Cluster_3
54,RFS,4545.0,4225.0,320.0,2260.0,4220,3603.9,5082.0,3,Cluster_3
55,RQ3,2825.0,2265.0,560.0,1805.0,6105,5440.34,4788.0,3,Cluster_3
56,RBS,1580.0,1210.0,370.0,1640.0,4256,3796.37,5016.0,3,Cluster_3
57,RFF,3900.0,3635.0,265.0,2285.0,4257,3690.75,7405.0,3,Cluster_3
59,RMP,3480.0,3305.0,175.0,1315.0,4327,3780.54,7247.0,3,Cluster_3
60,RNQ,3945.0,3620.0,325.0,3345.0,4759,4211.04,8082.0,3,Cluster_3
61,RWW,3335.0,3080.0,255.0,2055.0,4470,3898.7,6303.0,3,Cluster_3
62,RTK,5155.0,4700.0,455.0,3305.0,4572,4164.37,8216.0,3,Cluster_3
64,RNS,6275.0,5670.0,605.0,3710.0,5661,5020.56,7977.0,0,Cluster_0
65,RX1,11215.0,9655.0,1560.0,9185.0,18271,16316.55,14386.0,1,Cluster_1
66,RJR,3280.0,3025.0,255.0,2300.0,4823,4270.61,5887.0,3,Cluster_3
67,RFR,3875.0,3460.0,415.0,2265.0,4824,4063.9,6840.0,3,Cluster_3
68,RA2,4430.0,3850.0,580.0,2355.0,4832,4320.85,5827.0,3,Cluster_3
69,RXK,5130.0,4585.0,545.0,3180.0,7565,6715.03,12675.0,0,Cluster_0
70,RPA,4240.0,3895.0,345.0,1960.0,4844,4426.2,7314.0,3,Cluster_3
71,RK5,4930.0,4590.0,340.0,3435.0,5755,4956.72,8963.0,3,Cluster_3
73,RBK,5280.0,4915.0,365.0,2430.0,4966,4309.48,6941.0,3,Cluster_3
74,RTP,5400.0,5035.0,365.0,3460.0,5003,4473.59,8010.0,3,Cluster_3
75,RJC,3315.0,3045.0,270.0,2835.0,5182,4455.44,6449.0,3,Cluster_3
76,RCD,2250.0,2045.0,205.0,2360.0,5018,4229.59,3979.0,3,Cluster_3
77,RNA,5385.0,4980.0,405.0,3470.0,5947,5289.09,8692.0,0,Cluster_0
78,RR7,2955.0,2705.0,250.0,2345.0,5204,4617.83,5255.0,3,Cluster_3
79,RL4,8220.0,7660.0,560.0,4925.0,10938,9615.17,11612.0,2,Cluster_2
81,RXW,5805.0,5475.0,330.0,5270.0,7220,6286.27,8767.0,0,Cluster_0
83,RWD,6020.0,5415.0,605.0,4880.0,8880,7717.93,11128.0,0,Cluster_0
84,RRK,16605.0,14695.0,1910.0,11545.0,22655,20063.43,25121.0,1,Cluster_1
85,RKB,7890.0,7085.0,805.0,5485.0,9468,8456.45,10675.0,0,Cluster_0
86,RBT,4205.0,3990.0,215.0,2030.0,5472,4677.68,6082.0,3,Cluster_3
87,RTG,10105.0,8975.0,1130.0,9005.0,13961,12090.62,13658.0,2,Cluster_2
88,RWE,12935.0,11420.0,1515.0,8770.0,16763,14747.33,18360.0,1,Cluster_1
89,RJE,11135.0,9975.0,1160.0,7260.0,11372,10091.39,12025.0,2,Cluster_2
90,RVW,4765.0,4310.0,455.0,2860.0,5761,4932.17,3593.0,3,Cluster_3
91,RWP,5950.0,5475.0,475.0,6825.0,6817,5912.09,10691.0,0,Cluster_0
92,RHW,5730.0,5130.0,600.0,3405.0,6105,5493.19,11099.0,0,Cluster_0
93,RAE,7010.0,6585.0,425.0,3610.0,6467,5707.94,9286.0,0,Cluster_0
94,RWJ,4205.0,3830.0,375.0,2590.0,6152,5354.73,7981.0,3,Cluster_3
95,RWY,4975.0,4505.0,470.0,4040.0,6560,5780.26,12748.0,0,Cluster_0
96,RXP,6310.0,5910.0,400.0,3670.0,7901,7012.65,10986.0,0,Cluster_0
97,RP5,5215.0,4455.0,760.0,4455.0,6937,5855.2,11215.0,0,Cluster_0
98,RXQ,5140.0,4820.0,320.0,3525.0,6542,5767.64,8474.0,0,Cluster_0
99,RWA,6690.0,5595.0,1095.0,6430.0,9231,8104.33,9074.0,0,Cluster_0
100,RMC,4455.0,4125.0,330.0,1995.0,6680,5820.29,7637.0,3,Cluster_3
102,RR8,7435.0,5725.0,1710.0,5175.0,19924,17745.1,15539.0,1,Cluster_1
103,RBL,5055.0,4465.0,590.0,3860.0,6770,5733.76,6989.0,3,Cluster_3
104,RXF,6505.0,5960.0,545.0,4835.0,9402,8100.61,14207.0,0,Cluster_0
105,RNN,3635.0,3270.0,365.0,2545.0,7135,6118.06,7634.0,3,Cluster_3
106,RJL,5745.0,5290.0,455.0,4435.0,6834,5806.5,11697.0,0,Cluster_0
107,RTF,7800.0,7335.0,465.0,4690.0,8931,7730.59,7986.0,0,Cluster_0
108,RHQ,9010.0,7255.0,1755.0,10830.0,17684,15295.94,8254.0,2,Cluster_2
109,RTR,6200.0,5095.0,1105.0,6115.0,10057,8881.87,8848.0,0,Cluster_0
110,R0B,6105.0,5445.0,660.0,5435.0,9120,7927.94,10642.0,0,Cluster_0
111,RRF,3035.0,2535.0,500.0,2620.0,7112,6113.59,6918.0,3,Cluster_3
112,RBN,6885.0,6445.0,440.0,3820.0,7121,6282.34,8770.0,0,Cluster_0
113,RTD,8745.0,7160.0,1585.0,9925.0,16244,14210.83,10905.0,2,Cluster_2
114,RWF,7540.0,7045.0,495.0,4140.0,7176,6484.66,15554.0,0,Cluster_0
115,RCB,7050.0,6440.0,610.0,6425.0,9775,8336.57,8376.0,0,Cluster_0
116,RXL,4460.0,4030.0,430.0,4510.0,8103,7270.67,7351.0,0,Cluster_0
117,RTX,4270.0,3885.0,385.0,3290.0,7392,6360.13,7260.0,3,Cluster_3
118,RN5,6125.0,5635.0,490.0,3595.0,7526,6699.57,10196.0,0,Cluster_0
119,RXR,6645.0,5830.0,815.0,4385.0,9885,8796.89,9115.0,0,Cluster_0
120,RXN,6120.0,5115.0,1005.0,4425.0,9906,8737.06,10254.0,0,Cluster_0
121,REM,7875.0,6675.0,1200.0,7075.0,14227,12893.02,15469.0,2,Cluster_2
122,RXC,4605.0,4135.0,470.0,3760.0,8139,7178.42,8396.0,0,Cluster_0
123,R0A,9090.0,6610.0,2480.0,8665.0,28528,25871.94,21588.0,1,Cluster_1
124,RHU,7305.0,6730.0,575.0,5205.0,8369,7473.5,9319.0,0,Cluster_0
125,RM3,9255.0,8100.0,1155.0,8590.0,20092,17982.1,21013.0,1,Cluster_1
126,RVV,7135.0,6270.0,865.0,5400.0,11120,10062.66,11067.0,2,Cluster_2
127,RTH,10015.0,8725.0,1290.0,6305.0,13661,12353.84,11384.0,2,Cluster_2
128,RHM,7650.0,6335.0,1315.0,5100.0,13053,11757.71,10089.0,2,Cluster_2
129,RYR,11915.0,10455.0,1460.0,8925.0,16341,14376.49,22037.0,1,Cluster_1
131,RBD,2055.0,1875.0,180.0,2345.0,3289,2887.89,3757.0,3,Cluster_3
133,RTE,7625.0,6685.0,940.0,5000.0,8592,7413.15,10711.0,0,Cluster_0
134,RN3,4310.0,3805.0,505.0,2985.0,5462,4760.65,4474.0,3,Cluster_3
135,RVJ,7560.0,6730.0,830.0,4530.0,9495,8335.61,7272.0,0,Cluster_0
136,REF,5180.0,4345.0,835.0,4810.0,7004,6184.12,5244.0,3,Cluster_3
137,RH8,8325.0,7275.0,1050.0,7320.0,12834,11113.22,10841.0,2,Cluster_2
138,RD1,4785.0,4435.0,350.0,2775.0,6274,5414.43,7191.0,3,Cluster_3
139,RNZ,2595.0,2320.0,275.0,1775.0,4004,3509.05,3780.0,3,Cluster_3
140,RH5,4470.0,4085.0,385.0,3520.0,10126,8804.71,5915.0,0,Cluster_0
141,RA9,3150.0,2890.0,260.0,3025.0,7058,6040.28,5208.0,3,Cluster_3
142,RA7,7445.0,6515.0,930.0,5970.0,12118,10593.35,12729.0,2,Cluster_2
143,R0D,7500.0,6560.0,940.0,6310.0,9327,8190.21,11498.0,0,Cluster_0
144,RK9,5865.0,5045.0,820.0,4575.0,9988,8800.93,7177.0,0,Cluster_0
145,RA4,2260.0,2060.0,200.0,1485.0,2795,2462.47,5040.0,3,Cluster_3
